id,visual_index
289,0.21114245
290,0.17861031
291,0.21405545
292,0.17388815
293,0.32300398
294,0.2564533
295,0.18112804
296,0.19660255
297,0.19791892
298,0.26646706
299,0.24612314
300,0.1672507
301,0.2326101
302,0.17220858
303,0.23962367
304,0.17745441
305,0.13827577
306,0.30076683
307,0.25031897
308,0.22885805
309,0.1808135
310,0.17647079
311,0.15300155
312,0.2395091
313,0.19686052
314,0.14805526
315,0.35149068
316,0.18624881
317,0.26452988
318,0.22447763
319,0.3423126
320,0.242008
321,0.21586086
322,0.20054075
323,0.2782439
324,0.27944383
325,0.18614614
326,0.23423262
327,0.32462895
328,0.22251105
329,0.37702897
330,0.27849272
331,0.24817693
332,0.21120626
333,0.14281788
334,0.22946143
335,0.26236063
336,0.13296047
337,0.29889798
338,0.362256
339,0.2634864
340,0.2236968
341,0.28072643
342,0.22413297
343,0.25163043
344,0.1755278
345,0.23443495
346,0.18498947
347,0.23365432
348,0.2267822
349,0.3016398
350,0.1406213
351,0.15454152
352,0.3100284
353,0.32737356
354,0.22476396
355,0.17694114
356,0.14962474
357,0.31098372
358,0.25184727
359,0.17343637
360,0.17715368
361,0.18082097
362,0.2790404
363,0.24287263
364,0.18276627
365,0.23435739
366,0.23540592
367,0.22460645
368,0.21727756
369,0.18971433
370,0.22735688
371,0.16324963
372,0.20676985
373,0.14797965
374,0.26280195
375,0.18935522
376,0.1977512
377,0.19675025
378,0.25889048
379,0.18189281
380,0.3137616
381,0.21443434
382,0.16175051
383,0.23358421
384,0.19930288
385,0.31347972
386,0.17711219
387,0.15892841
388,0.3264612
389,0.24528894
390,0.24503991
391,0.24470004
392,0.22093363
393,0.33965546
394,0.21800175
395,0.16570011
396,0.21872595
397,0.23306541
398,0.24748722
399,0.18275267
